id_movie,score_num,year_released
403440,5.8,1998
403441,5.9,1998
403442,5.1,1998
403443,7.0,1998
403444,8.7,1999
403445,8.8,1999
403446,7.4,1999
403447,7.4,1999
403448,7.0,1999
403449,7.0,1999
403450,8.6,1999
403451,8.3,1999
403452,6.5,1999
403453,7.3,1999
403454,8.1,1999
403455,6.6,1999
403456,7.7,1999
403457,7.3,1999
403458,7.1,1999
403459,6.8,1999
403460,6.5,1999
403461,7.2,1999
403462,8.0,1999
403463,7.3,1999
403464,5.9,1999
403465,5.9,1999
403466,7.8,1999
403467,6.5,1999
403468,5.9,1999
403469,7.3,1999
403470,5.7,1999
403471,7.9,1999
403472,7.3,1999
403473,7.3,1999
403474,7.2,1999
403475,7.7,1999
403476,8.0,1999
403477,6.4,1999
403478,5.3,1999
403479,6.1,1999
403480,4.9,1999
403481,6.4,1999
403482,6.7,1999
403483,6.5,1999
403484,7.8,1999
403485,5.7,1999
403486,6.6,1999
403487,6.8,1999
403488,5.8,1999
403489,6.9,1999
403490,6.6,1999
403491,7.5,1999
403492,6.5,1999
403493,5.6,1999
403494,6.7,1999
403495,6.1,1999
403496,5.6,1999
403497,6.7,1999
403498,6.9,1999
403499,6.6,1999
403500,6.7,1999
403501,7.4,1999
403502,7.8,1999
403503,5.0,1999
403504,6.8,1999
403505,6.6,1999
403506,6.8,1999
403507,7.1,1999
403508,7.2,1999
403509,7.1,1999
403510,7.7,1999
403511,8.0,1999
403512,6.2,1999
403513,6.4,1999
403514,6.9,1999
403515,6.4,1999
403516,6.4,1999
403517,7.4,1999
403518,7.5,1999
403519,7.0,1999
403520,6.3,1999
403521,7.1,1999
403522,7.0,1999
403523,5.8,1999
403524,7.5,1999
403525,5.3,1999
403526,6.9,1999
403527,5.6,1999
403528,7.1,1999
403529,4.2,1999
403530,7.2,1999
403531,7.6,1999
403532,7.9,1999
403533,5.8,1999
403534,6.3,1999
403535,7.0,1999
403536,6.2,1999
403537,6.2,1999
403538,6.4,1999
403539,6.5,1999
403540,6.7,1999
403541,7.1,1999
403542,6.5,1999
403543,5.9,1999
403544,5.0,1999
403545,5.1,1999
403546,6.8,1999
403547,6.2,1999
403548,7.3,1999
403549,6.6,1999
403550,7.1,1999
403551,5.4,1999
403552,6.1,1999
403553,4.9,1999
403554,7.3,1999
403555,4.2,1999
403556,6.7,1999
403557,6.9,1999
403558,7.1,1999
403559,6.7,1999
403560,2.7,1999
403561,5.1,1999
403562,7.4,1999
403563,6.2,1999
403564,6.7,1999
403565,6.0,1999
403566,6.1,1999
403567,7.5,1999
403568,5.2,1999
403569,5.9,1999
403570,6.0,1999
403571,7.2,1999
403572,4.7,1999
403573,5.4,1999
403574,6.3,1999
403575,7.5,1999
403576,5.0,1999
403577,7.0,1999
403578,6.5,1999
403579,5.8,1999
403580,6.0,1999
403581,5.8,1999
403582,5.5,1999
403583,7.4,1999
403584,6.6,1999
403585,3.9,1999
403586,6.4,1999
403587,6.4,1999
403588,7.8,1999
403589,5.3,1999
403590,6.1,1999
403591,6.0,1999
403592,6.9,1999
403593,6.1,1999
403594,7.2,1999
403595,3.9,1999
403596,6.0,1999
403597,6.8,1999
403598,4.4,1999
403599,6.9,1999
403600,5.2,1999
403601,6.9,1999
403602,6.8,1999
403603,6.1,1999
403604,6.8,1999
403605,7.4,1999
403606,6.8,1999
403607,4.3,1999
403608,6.1,1999
403609,6.8,1999
403610,6.8,1999
403611,5.5,1999
403612,5.1,1999
403613,6.3,1999
403614,4.9,1999
403615,6.2,1999
403616,5.1,1999
403617,7.8,1999
403618,4.3,1999
403619,6.1,1999
403620,5.5,1999
403621,6.5,1999
403622,6.8,1999
403623,6.4,1999
403624,4.6,1999
403625,7.3,1999
403626,7.0,1999
403627,8.2,1999
403628,7.5,1999
403629,7.2,1999
403630,7.6,1999
403631,7.1,1999
403632,5.4,1999
403633,7.2,1999
403634,5.5,1999
403635,6.6,1999
403636,6.1,1999
403637,6.2,1999
403638,5.8,1999
403639,4.5,1999
403640,6.9,1999
403641,6.3,1999
403642,7.5,1999
403643,6.7,1999
403644,7.9,2000
403645,7.6,2000
403646,8.5,2000
403647,8.3,2000
403648,8.3,2000
403649,8.4,2000
403650,7.5,2000
403651,7.8,2000
403652,6.2,2000
403653,6.4,2000
403654,5.7,2000
403655,7.4,2000
403656,6.4,2000
403657,7.2,2000
403658,7.4,2000
403659,7.3,2000
403660,5.6,2000
403661,6.4,2000
403662,6.7,2000
403663,6.0,2000
403664,7.8,2000
403665,6.1,2000
403666,7.7,2000
403667,5.9,2000
403668,7.0,2000
403669,6.4,2000
403670,6.7,2000
403671,7.6,2000
403672,7.3,2000
403673,8.1,2000
403674,6.6,2000
403675,7.4,2000
403676,7.8,2000
403677,6.5,2000
403678,5.5,2000
403679,7.0,2000
403680,7.1,2000
403681,5.8,2000
403682,6.8,2000
403683,6.3,2000
403684,7.5,2000
403685,2.5,2000
403686,5.6,2000
403687,7.5,2000
403688,6.7,2000
403689,7.2,2000
403690,7.7,2000
403691,8.1,2000
403692,6.6,2000
403693,6.6,2000
403694,6.0,2000
403695,6.9,2000
403696,5.0,2000
403697,6.5,2000
403698,6.2,2000
403699,8.0,2000
403700,6.4,2000
403701,6.7,2000
403702,6.8,2000
403703,5.7,2000
403704,6.6,2000
403705,6.2,2000
403706,6.5,2000
403707,5.3,2000
403708,7.0,2000
403709,6.7,2000
403710,7.3,2000
403711,7.2,2000
403712,6.1,2000
403713,7.2,2000
403714,6.6,2000
403715,5.8,2000
403716,7.3,2000
403717,7.2,2000
403718,5.9,2000
403719,3.7,2000
403720,4.5,2000
403721,5.8,2000
403722,4.9,2000
403723,4.9,2000
403724,5.7,2000
403725,3.7,2000
403726,5.2,2000
403727,7.3,2000
403728,6.0,2000
403729,7.3,2000
403730,6.7,2000
403731,6.6,2000
403732,5.1,2000
403733,5.3,2000
403734,5.6,2000
403735,6.1,2000
403736,5.2,2000
403737,5.7,2000
403738,7.2,2000
403739,6.4,2000
403740,6.7,2000
403741,5.7,2000
403742,4.0,2000
